city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,5
sj,2008,20,5
sj,2008,21,8
sj,2008,22,10
sj,2008,23,18
sj,2008,24,19
sj,2008,25,22
sj,2008,26,47
sj,2008,27,40
sj,2008,28,42
sj,2008,29,44
sj,2008,30,60
sj,2008,31,63
sj,2008,32,62
sj,2008,33,87
sj,2008,34,47
sj,2008,35,90
sj,2008,36,92
sj,2008,37,96
sj,2008,38,77
sj,2008,39,42
sj,2008,40,23
sj,2008,41,69
sj,2008,42,31
sj,2008,43,24
sj,2008,44,30
sj,2008,45,32
sj,2008,46,29
sj,2008,47,26
sj,2008,48,22
sj,2008,49,18
sj,2008,50,16
sj,2008,51,16
sj,2008,52,9
sj,2009,1,20
sj,2009,2,18
sj,2009,3,19
sj,2009,4,15
sj,2009,5,13
sj,2009,6,9
sj,2009,7,12
sj,2009,8,9
sj,2009,9,13
sj,2009,10,6
sj,2009,11,4
sj,2009,12,5
sj,2009,13,3
sj,2009,14,4
sj,2009,15,3
sj,2009,16,3
sj,2009,17,5
sj,2009,18,7
sj,2009,19,5
sj,2009,20,11
sj,2009,21,6
sj,2009,22,12
sj,2009,23,13
sj,2009,24,15
sj,2009,25,21
sj,2009,26,21
sj,2009,27,34
sj,2009,28,81
sj,2009,29,61
sj,2009,30,72
sj,2009,31,96
sj,2009,32,89
sj,2009,33,94
sj,2009,34,72
sj,2009,35,79
sj,2009,36,86
sj,2009,37,55
sj,2009,38,77
sj,2009,39,58
sj,2009,40,102
sj,2009,41,91
sj,2009,42,81
sj,2009,43,87
sj,2009,44,52
sj,2009,45,32
sj,2009,46,28
sj,2009,47,26
sj,2009,48,24
sj,2009,49,22
sj,2009,50,24
sj,2009,51,28
sj,2009,52,21
sj,2010,53,2
sj,2010,1,15
sj,2010,2,15
sj,2010,3,19
sj,2010,4,17
sj,2010,5,8
sj,2010,6,17
sj,2010,7,12
sj,2010,8,13
sj,2010,9,12
sj,2010,10,14
sj,2010,11,6
sj,2010,12,9
sj,2010,13,10
sj,2010,14,6
sj,2010,15,6
sj,2010,16,9
sj,2010,17,21
sj,2010,18,17
sj,2010,19,12
sj,2010,20,24
sj,2010,21,20
sj,2010,22,30
sj,2010,23,81
sj,2010,24,78
sj,2010,25,29
sj,2010,26,44
sj,2010,27,92
sj,2010,28,83
sj,2010,29,45
sj,2010,30,24
sj,2010,31,88
sj,2010,32,90
sj,2010,33,92
sj,2010,34,79
sj,2010,35,91
sj,2010,36,96
sj,2010,37,89
sj,2010,38,92
sj,2010,39,92
sj,2010,40,74
sj,2010,41,97
sj,2010,42,82
sj,2010,43,75
sj,2010,44,35
sj,2010,45,24
sj,2010,46,19
sj,2010,47,22
sj,2010,48,19
sj,2010,49,15
sj,2010,50,17
sj,2010,51,10
sj,2011,52,14
sj,2011,1,17
sj,2011,2,16
sj,2011,3,17
sj,2011,4,14
sj,2011,5,11
sj,2011,6,11
sj,2011,7,11
sj,2011,8,12
